cust_email,first_name,last_name,passwd,street,city,state_province,country,zip_code,phone_number,passport_num,passport_expiration,passport_country,dob,car_id,rent_date,return_date,purchase_date,date,rating,comments,rate_per_day,card_number,card_holder,card_type,card_expiration,cvv_code,company_id,brand,type,color,car_age,base_price,name,company_city,company_state,company_country,company_zip_code
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,CAR001,9/13/2019 14:53:25,9/20/2019 15:59:00,8/25/2019 17:23:22,10/5/2019 12:53:25,5,Amazing Experience,300,4929747189573571,Max Cole,Credit,12/1/2025,123,REN001,Toyota,Sedan,Blue,1.5,50,BestRental,Brooklyn,New York,USA,10021
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,CAR002,5/23/2020 18:23:22,6/2/2020 9:23:45,5/1/2020 19:23:22,6/20/2020 10:32:35,4,Good overall.,350,4929747189573571,Max Cole,Credit,12/1/2025,123,REN001,Honda,SUV,Red,2,70,BestRental,Brooklyn,New York,USA,10021
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,CAR003,8/8/2020 19:32:12,8/18/2020 12:35:10,7/2/2020 15:34:56,9/12/2020 15:39:20,5,Amazing Experience,200,4929747189573571,Max Cole,Credit,12/1/2025,123,REN002,Ford,Truck,Black,1.8,80,USARental,Manhattan,New York,USA,10018
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,CAR004,9/12/2020 20:22:12,9/18/2020 13:35:10,3/2/2020 15:34:56,9/22/2020 19:40:20,3,Car is not clean,250,4929747189573571,Max Cole,Credit,12/1/2025,123,REN002,Chevrolet,Convertible,Yellow,1.2,100,USARental,Manhattan,New York,USA,10018
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,CAR005,9/21/2021 9:52:12,9/28/2021 15:36:10,9/2/2021 15:34:56,10/25/2021 8:25:20,5,Amazing Experience,300,4929747189573571,Max Cole,Credit,12/1/2025,123,REN003,Nissan,Sedan,Silver,1.7,60,Expedia,Los Angeles,California,USA,10098
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,CAR006,9/19/2022 16:35:12,9/23/2022 16:55:10,8/2/2022 15:34:56,10/22/2022 15:39:20,5,Amazing Experience,400,4929747189573571,Max Cole,Credit,12/1/2025,123,REN003,BMW,Coupe,White,1,120,Expedia,Los Angeles,California,USA,10098
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,CAR007,1/25/2023 5:52:12,2/3/2023 10:28:10,1/2/2023 9:54:56,3/22/2023 19:26:35,4,Good overall.,350,4929747189573571,Max Cole,Credit,12/1/2025,123,REN001,Toyota,Sedan,Gray,1.6,50,BestRental,Brooklyn,New York,USA,10021
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,CAR008,6/26/2023 12:00:00,7/2/2023 14:00:00,3/9/2023 15:32:35,,,,350,4929747189573571,Max Cole,Credit,12/1/2025,123,REN002,Ford,SUV,White,1.5,80,USARental,Manhattan,New York,USA,10018
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,CAR009,9/15/2023 12:00:00,9/25/2023 14:00:00,3/15/2023 3:32:35,,,,300,4929747189573571,Max Cole,Credit,12/1/2025,123,REN003,Honda,Sedan,Blue,1.9,60,Expedia,Los Angeles,California,USA,10098
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,CAR010,4/13/2019 15:06:00,4/18/2019 8:25:00,2/15/2019 3:25:00,5/15/2019 3:25:30,5,Clean and well-maintained car.,400,4929747189573571,Max Cole,Credit,12/1/2025,123,REN001,Nissan,SUV,Black,2.2,70,BestRental,Brooklyn,New York,USA,10021
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,CAR011,4/13/2020 15:06:00,4/18/2020 8:25:00,2/15/2020 3:25:00,6/25/2020 14:52:35,1,Long wait time for pick-up.,250,5293541090325769,Emily Brown,Debit,10/1/2024,234,REN002,Chevrolet,Truck,Red,1.3,90,USARental,Manhattan,New York,USA,10018
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,CAR012,4/13/2021 15:06:00,4/18/2021 8:25:00,2/15/2021 3:25:00,5/15/2021 3:25:30,5,Excellent service and car quality.,300,5293541090325769,Emily Brown,Debit,10/1/2024,234,REN003,BMW,Sedan,Silver,1.2,100,Expedia,Los Angeles,California,USA,10098
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,CAR013,6/15/2019 15:06:00,6/18/2019 8:25:00,2/15/2019 3:25:00,7/15/2019 15:23:23,4,Car smelled strongly of cigarette smoke.,200,5293541090325769,Emily Brown,Debit,10/1/2024,234,REN001,Ford,Sedan,Blue,1.4,50,BestRental,Brooklyn,New York,USA,10021
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,CAR014,7/16/2020 15:06:00,7/18/2020 8:25:00,2/15/2020 3:25:00,8/15/2020 12:23:23,4,Car was not ready on time.,250,5293541090325769,Emily Brown,Debit,10/1/2024,234,REN001,Toyota,SUV,Silver,2.5,70,BestRental,Brooklyn,New York,USA,10021
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,CAR015,9/13/2021 15:06:00,9/18/2021 8:25:00,2/15/2021 3:25:00,9/29/2021 15:29:23,4,Great value for the price.,200,5293541090325769,Emily Brown,Debit,10/1/2024,234,REN002,Honda,Coupe,Black,1.8,80,USARental,Manhattan,New York,USA,10018
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,CAR016,11/13/2019 15:06:00,11/18/2019 8:25:00,2/15/2019 3:25:00,7/15/2020 12:25:56,1,Helpful and friendly staff.,200,5293541090325769,Emily Brown,Debit,10/1/2024,234,REN002,Chevrolet,Sedan,White,1.9,60,USARental,Manhattan,New York,USA,10018
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,CAR017,6/13/2020 15:06:00,6/18/2020 8:25:00,2/15/2020 3:25:00,9/23/2020 19:20:25,2,Car had some scratches and dents.,183,5293541090325769,Emily Brown,Debit,10/1/2024,234,REN003,Nissan,Truck,Gray,2.1,90,Expedia,Los Angeles,California,USA,10098
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,CAR018,8/13/2021 15:06:00,8/18/2021 8:25:00,2/15/2021 3:25:00,08/29/2022 15:32:35,2,Smooth and easy rental process.,169,5293541090325769,Emily Brown,Debit,10/1/2024,234,REN003,BMW,SUV,Red,1.5,110,Expedia,Los Angeles,California,USA,10098
will.harris@example.com,will,harris,passwd3,441 Lawn Plaza,Stanford,CA,USA,12235,384-846-0025,KY6426652,2/23/2026,Zambia,4/10/1988,CAR019,4/13/2019 15:06:00,4/18/2019 8:25:00,2/15/2019 3:25:00,5/15/2019 3:25:30,2,Good selection of cars.,155,4171816016480653,Will Harris,Credit,1/1/2026,345,REN001,Ford,Coupe,Yellow,1.1,100,BestRental,Brooklyn,New York,USA,10021
