cust_email,first_name,last_name,passwd,street,city,state_province,country,zip_code,phone_number,passport_num,passport_expiration,passport_country,dob,ticket_id,purchase_date,seat_num,price,card_number,card_holder,card_type,card_expiration,cvv_code,flight_num,depart_time,depart_airport,depart_city,depart_state,depart_country,depart_zip_code,arrival_time,date,rating,comments,arrival_airport,arrival_city,arrival_state,arrival_country,arrival_zip_code,airline_name,airline_city,airline_state,airline_country,base_price,flight_status,plane_id,aircraft_age,capacity,type,description
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,2,2021-04-15 10:25:00,1A,350,4929747189573571,Max Cole,Credit,12/1/2025,123,AA123,2022-01-01 10:00:00,LAX,Los Angeles,California,United States,90045,2022-01-01 12:44:00,2022-01-01 14:30:00,4,The flight was comfortable and the service was good.,MCO,Orlando,Florida,United States,31118,American Airlines,Fort Worth,TX,USA,318,On time,127834,7,156,Airbus A320,"Single-aisle, twin-engine jetliner with a range of 3,000 nautical miles."
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,3,2022-04-09 9:23:15,1C,450,4929747189573571,Max Cole,Credit,12/1/2025,123,UA456,2023-02-02 15:30:00,ORD,Chicago,Illinois,United States,60666,2023-02-02 21:23:00,2023-02-03 17:00:00,5,I had a great experience on this flight. The crew was helpful and the seats were very comfortable.,PVG,Shanghai,Shanghai Municipality,China,201202,United Airlines,Chicago,IL,USA,459,Delayed,785341,21,423,Boeing 777,"Wide-body, twin-engine jetliner with a range of 6,000 nautical miles."
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,4,2022-04-01 8:25:03,1E,550,4929747189573571,Max Cole,Credit,12/1/2025,123,DL789,2023-03-03 9:45:00,ATL,Atlanta,Georgia,United States,30337,2023-03-03 13:47:00,2023-03-05 11:20:00,3,"The flight was delayed by 2 hours, but the airline provided adequate compensation.",ATL,Atlanta,Georgia,United States,30337,Delta Airlines,Atlanta,GA,USA,144,On time,289063,29,338,Embraer E175,"Four-engine jumbo jet with a range of 7,500 nautical miles."
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,5,2022-04-14 14:53:02,1F,650,4929747189573571,Max Cole,Credit,12/1/2025,123,AA124,2023-01-01 10:00:00,SFO,San Francisco,California,United States,94128,2023-01-01 14:39:00,2023-01-02 17:20:00,4,I enjoyed the in-flight entertainment and the staff was friendly.,CDG,Paris,,France,95711,American Airlines,Fort Worth,TX,USA,291,On time,791538,16,219,Bombardier CRJ900,"Short- to medium-range twin-engine jetliner with a range of 2,000 nautical miles."
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,6,2022-04-12 15:35:36,2A,750,4929747189573571,Max Cole,Credit,12/1/2025,123,UA457,2023-02-02 15:30:00,DFW,Dallas/Fort Worth,Texas,United States,75261,2023-02-02 20:42:00,2023-03-03 11:30:00,3,"The flight was average, nothing particularly stood out.",DEN,Denver,Colorado,United States,80249,United Airlines,Chicago,IL,USA,469,On time,69218,3,125,Airbus A330,"Long-range, wide-body twin-engine jetliner with a range of 8,000 nautical miles."
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,7,2022-04-07 20:35:15,2C,850,4929747189573571,Max Cole,Credit,12/1/2025,123,DL790,2023-03-03 9:45:00,DEN,Denver,Colorado,United States,80249,2023-03-03 14:45:00,2023-04-03 15:30:00,5,The flight attendants were friendly and helpful throughout the journey.,BOS,Boston,Massachusetts,United States,2128,Delta Airlines,Atlanta,GA,USA,359,Delayed,657128,19,424,Boeing 737,"Medium- to long-range twin-engine jetliner with a range of 5,500 nautical miles."
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,8,2022-04-05 5:32:10,2E,950,4929747189573571,Max Cole,Credit,12/1/2025,123,AA125,2023-01-01 10:00:00,MCO,Orlando,Florida,United States,31118,2023-01-01 13:04:00,2023-01-04 12:30:00,4,"The flight was comfortable, although the food could have been better.",MEX,Mexico City,,Mexico,15620,American Airlines,Fort Worth,TX,USA,123,Delayed,548960,10,196,Embraer E195,"Medium-range, narrow-body twin-engine jetliner with a range of 3,500 nautical miles."
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,9,2022-04-02 12:09:15,2F,1050,4929747189573571,Max Cole,Credit,12/1/2025,123,UA459,2023-02-02 15:30:00,BOS,Boston,Massachusetts,United States,2128,2023-02-02 17:51:00,2023-03-04 16:30:00,5,The flight was excellent in every way. The seats were comfortable and the service was great.,ATL,Atlanta,Georgia,United States,30337,United Airlines,Chicago,IL,USA,375,On time,920345,27,194,Airbus A350,"Ultra-long-range twin-engine jetliner with a range of 9,000 nautical miles."
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,10,2022-04-16 17:03:25,2G,1150,4929747189573571,Max Cole,Credit,12/1/2025,123,DL791,2023-03-03 9:45:00,PHX,Phoenix,Arizona,United States,85034,2023-03-03 12:16:00,2023-03-05 13:45:00,3,"The flight was delayed by an hour, which was inconvenient.",LAX,Los Angeles,California,United States,90045,Delta Airlines,Atlanta,GA,USA,198,On time,303846,5,335,Bombardier Dash 8 Q400,"Composite-material, twin-engine jetliner with a range of 3,200 nautical miles."
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,11,2023-04-16 17:03:25,1A,5000,4929747189573571,Max Cole,Credit,12/1/2025,123,DL888,2023-05-22 1:35:00,YYZ,Toronto,Ontario,Canada,6301,2023-05-23 10:25:00,,,,PVG,Shanghai,Shanghai Municipality,China,201202,Delta Airlines,Atlanta,GA,USA,1440,On time,88888,29,338,Embraer E175,"Four-engine jumbo jet with a range of 7,500 nautical miles."
