cust_email,first_name,last_name,passwd,street,city,state_province,country,zip_code,phone_number,passport_num,passport_expiration,passport_country,dob,room_id,check_in_date,check_out_date,purchase_date,rate_per_night,card_number,card_holder,card_type,card_expiration,cvv_code,hotel_id,date,rating,comments,number,type,max_occupancy,floor,footprint,notes,price,name,stars,hotel_street,hotel_city,hotel_state,hotel_country,hotel_zip_code
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,V786,11/20/2022 10:25:00,11/22/2022 9:59:12,10/21/2022 14:25:38,300,4929747189573571,Max Cole,Credit,12/1/2025,123,HT001,11/23/2022 23:23:23,4,"Great hotel, would stay again!",101,Standard,2,53,200 sq ft,None,100,Grand Hotel,5,123 Main St.,New York City,NY,USA,10001
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,H497,5/20/2023 14:00:00,5/23/2023 12:00:00,4/23/2023 15:39:32,600,4929747189573571,Max Cole,Credit,12/1/2025,123,HT002,,,,102,Standard,2,30,200 sq ft,None,80,Ocean View Resort,4,456 Ocean Blvd.,Miami,FL,USA,33101
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,V786,3/21/2018 16:29:35,3/28/2018 11:26:32,2/16/2018 6:45:21,500,4929747189573571,Max Cole,Credit,12/1/2025,123,HT001,6/20/2018 6:20:20,5,The Best,101,Standard,2,53,200 sq ft,None,100,Grand Hotel,5,123 Main St.,New York City,NY,USA,10001
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,K288,3/20/2022 14:20:15,3/25/2022 13:21:00,1/16/2022 13:25:01,300,4929747189573571,Max Cole,Credit,12/1/2025,123,HT004,7/14/2022 5:39:39,2,"Terrible hotel, would never stay here again.",109,Standard,2,36,200 sq ft,None,80,City Suites,3,246 Downtown Ave.,Chicago,IL,USA,60601
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,V786,3/26/2022 15:30:21,3/29/2022 20:32:30,1/16/2022 15:29:28,200,4929747189573571,Max Cole,Credit,12/1/2025,123,HT001,5/26/2022 5:32:21,5,"Great hotel, would stay again!",101,Standard,2,53,200 sq ft,None,100,Grand Hotel,5,123 Main St.,New York City,NY,USA,10001
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,G888,4/5/2022 19:32:35,4/10/2022 4:35:32,1/2/2022 9:25:29,1500,4929747189573571,Max Cole,Credit,12/1/2025,123,HT007,5/26/2022 5:33:35,3,"Average hotel, not bad but not great either.",225,Standard,5,62,280 sq ft,Balcony with pool view,200,Paradise Resort,5,679 Palm St.,Honolulu,HI,USA,96801
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,S366,4/19/2022 17:52:32,4/25/2022 8:21:25,1/15/2022 3:39:40,600,4929747189573571,Max Cole,Credit,12/1/2025,123,HT008,5/26/2022 5:35:36,4,"I had a great time at this hotel. The room was spacious and comfortable, and the location was perfect.",402,Deluxe,1,23,190 sq ft,"Kitchenette, living room, pool view",300,Sunset Motel,2,852 Seaside Blvd.,San Diego,CA,USA,92101
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,G277,8/20/2023 14:00:00,8/22/2023 12:00:00,3/25/2023 8:20:18,800,4929747189573571,Max Cole,Credit,12/1/2025,123,HT002,,,,101,Standard,2,91,200 sq ft,None,80,Ocean View Resort,4,456 Ocean Blvd.,Miami,FL,USA,33101
max.cole@example.com,max,cole,passwd1,9 Mendota Crossing,Osaka,Osaka,Japan,54183,576-852-9347,TB6221142,6/16/2028,USA,5/1/1961,G276,12/25/23 14:00:00,12/27/2023 12:00:00,3/25/2023 8:25:25,200,4929747189573571,Max Cole,Credit,12/1/2025,123,HT002,,,,102,Standard,2,30,200 sq ft,None,80,Ocean View Resort,4,456 Ocean Blvd.,Miami,FL,USA,33101
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,H499,9/15/2022 10:25:00,9/22/2022 9:59:25,8/21/2022 14:25:38,300,4929747189573571,Max Cole,Credit,12/1/2025,123,HT002,10/15/2022 3:26:26,1,Horrible,201,Deluxe,4,78,350 sq ft,Balcony with mountain view,150,Ocean View Resort,4,456 Ocean Blvd.,Miami,FL,USA,33101
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,J448,12/25/22 14:01:00,12/27/22 16:01:01,8/21/2022 14:29:38,1500,5293541090325769,Emily Brown,Debit,10/1/2024,234,HT002,1/25/2023 14:52:35,3,Better than last time,202,Deluxe,4,21,350 sq ft,Balcony with mountain view,150,Ocean View Resort,4,456 Ocean Blvd.,Miami,FL,USA,33101
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,T321,2/23/23 17:01:25,2/25/23 9:01:25,10/25/2022 8:20:35,260,5293541090325769,Emily Brown,Debit,10/1/2024,234,HT002,3/25/2023 14:52:35,4,Much Better!,301,Suite,6,44,500 sq ft,"Kitchenette, living room, mountain view",250,Ocean View Resort,4,456 Ocean Blvd.,Miami,FL,USA,33101
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,G256,09/15/23 14:00:00,9/25/2023 12:00:00,03/25/2023 19:20:21,300,5293541090325769,Emily Brown,Debit,10/1/2024,234,HT002,,,,302,Suite,6,95,500 sq ft,"Kitchenette, living room, mountain view",250,Ocean View Resort,4,456 Ocean Blvd.,Miami,FL,USA,33101
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,K950,12/13/2023 14:00:00,12/20/2023 12:00:00,03/26/2023 19:20:21,50,5293541090325769,Emily Brown,Debit,10/1/2024,234,HT005,,,,312,Standard,1,74,250 sq ft,None,100,Beachside Inn,3,135 Sandy Ln.,Santa Barbara,CA,USA,93101
